,breed,fur,fur_color,gender,life_expectancy
430,Frech minitoy,Corto,,Macho,12
432,french,Largo,blancos y beagel,Hembra,16
434,french poodle,Largo,Blanco,,15
435,Golden Retriever,Largo,Dorado,Hembra,12
436,GRAN DANÉS (Dogo Alemán),Corto,Negros,,10
437,Husky,,Gris,Hembra,
438,Shar Pei,Corto,Negro,Macho,15
439,Cachorros French poodle mini toy tacita de te,Largo,Blanco,Hembra,20
440,Yorkshire mini,Largo,Negro,Macho,16
441,Pequinés cabeza de león raza pura,Largo,Marrón oscuro,Macho,14
442,Hermosos schnauzer miniatura chocolate,Largo,Chocolate,Macho,20
443,Shnauzer,Largo,,Hembra,12
445,Shnauzer minitoy,Corto,Blanco,Hembra,10
446,french,Corto,blanco y salpimienta,Macho,16
447,Shnauzer,Largo,,Macho,12
448,American Bully,,los que ve entre otros,,
449,Bichón Maltés,Largo,Blanco,,
450,Cocker Spaniel Inglés,Largo,Dorado,,15
451,Schnauzer miniatura,Largo,salpimienta,Hembra,16
452,Pastor Alemán,Corto,Negro,Hembra,15
453,GRAN DANÉS (Dogo Alemán),Corto,Negros,,10
454,GRAN DANÉS (Dogo Alemán),Corto,Cervato (Leonados),,10
455,Bulldog Francés,Corto,,,14
457,Rottwiler,Corto,Negro,Macho,20
458,French,Corto,Blanco,Hembra,20
459,frech poodle,Corto,Blanco,Macho,14
460,Bulldog Francés,Corto,,,14
461,SALCHICHA,Corto,Negro,,
462,Pitbull,Corto,"Negro, Blanco, Café, Gris",Hembra,14
463,Yorkshire Terrier,Largo,los que ve,,16
464,Golden Retriever,Largo,Beige,Macho,12
466,Golden,Corto,,Macho,12
467,Schnauzer Mini,Largo,Blanco,,15
468,Schnauzer,Largo,Blanco,,20
469,Schnauzer Mini,Largo,Blanco,,20
470,Golden,Corto,,Macho,12
471,Schnauzer,Largo,BLANCO Y SAL PIMIENTA,,14
472,Golden,Corto,,Hembra,12
473,Husky Siberiano,Corto,manto negro o gris,Macho,15
474,Shih Tzu,Largo,Tricolor,,16
475,Pitbull Blue,Corto,Azul acero,Macho,8
476,Cachorros Bichón Maltés minitoy tasita de te,Largo,Blanco,Macho,20
477,american bully pocket,Corto,Negro,Hembra,8
479,Bulldog Inglés,Corto,los que observa,,10
480,frech poodle,Corto,Blanco,Hembra,20
482,Pitbull,Corto,Blue,Macho,14
483,Shnauzer Miniatura,Corto,salpimienta,Macho,12
484,Dogo Argentino,Corto,Blanco,,12
485,FRENCH POODLE,Corto,Blanco,,20
486,Bulldog Francés,Corto,Chocolate,Hembra,2
487,SALCHICHA,Corto,NEGRO Y CAFE,,12
488,Schnauzer miniaturas,Largo,Blanco,Hembra,15
489,Cocker,Corto,Blanco,Macho,12
490,Shnauzer Miniatura,Corto,salpimenta,Hembra,12
491,Husky Siberiano,Largo,Negro,Macho,15
492,Dachshund Mini,Corto,CAFE Y NEGRO FUEGO,,15
493,FRENCH POODLE,Corto,Chocolate,,2
494,Golden Retriver(macho y hembra),Largo,Dorado oscuro,Macho,1
495,Golden Retriver,Largo,Dorado,Macho,13
496,COCKER SPANIEL,Largo,Dorado,,20
497,Akita Americano,Corto,Blanco,Macho,15
498,Teckel salchicha,Corto,Negro,Hembra,20
499,pastor aleman,Largo,Negro/Fuego,Macho,13
500,Bichón Frisé,Largo,Blanco,Hembra,15
501,Chihuahua,Corto,blanco-negro,,20
502,pastor aleman,Largo,Negro/Fuego,Macho,13
503,Shitzu,Largo,Marrón claro,Hembra,14
504,Husky Siberiano,Corto,manto negro o gris,Macho,15
505,pastor aleman,Largo,Negro/Fuego,Macho,13
506,Husky Siberiano,Corto,Blanco,Hembra,15
507,salchicha,,Negro/Café,,
509,American Bully,Corto,Bicolor,,15
510,Cachorros French poodle minitoy chocolate,Largo,Chocolate,Hembra,20
511,Bichón Maltés,Largo,Blanco,,2
513,Labrador retriever chocolate,Corto,Chocolate,Hembra,20
514,Shit tzu mini,Largo,Tricolor,Macho,14
515,Pastor Belga Malinois,Corto,marrón con negro,Hembra,14
516,Akita Americano,Corto,Tricolor,Macho,15
517,Cachorros beagle puros,Corto,bicolores,Hembra,20
518,Yorkshire Terrier,Largo,"azul acero en el cuerpo y cola,",Hembra,16
519,San Bernardo,Largo,Tricolor,Macho,15
522,Frechminitoy,Corto,,Hembra,12
523,Dogo Argentino,Corto,Blanco,Hembra,12
525,Chihuahua,Corto,los que observa,,20
526,Cachorros Alaska malamute pelones,Largo,Bicolor,Macho,20
529,Cachorros Yorkshire terrier tea cup minitoy,Largo,Negro/Fuego,Hembra,20
531,Labrador Retriever,Corto,labrador crema claro y negro,Macho,17
532,Bulldog Inglés,Corto,Blanco,Hembra,10
534,pastor aleman,Largo,Negro,Macho,13
535,Pekinés,Largo,,,14
536,Border Collie,Corto,Blanco y Negro,,17
537,Pekinés,Largo,,,14
538,pastor aleman,Largo,Negro,Macho,13
539,Beagle,Corto,Tricolor,,18
540,Beagle,Corto,Tricolor,Hembra,15
541,pastor alemán,Largo,Negro/Fuego,Macho,13
543,Chihuahua,Corto,Negro/Fuego,Hembra,15
545,Golden Retriever,Largo,Dorado,Macho,12
546,Chihuahua,Corto,Beige,,20
547,Pastor aleman,Largo,Negro,Hembra,13
548,Bichón Maltés,Largo,Blanco,Macho,17
549,Cocker Spaniel Inglés,Largo,blanco y cafe,Hembra,15
551,TECKEL,,Café,,
553,Dogo Argentino,Corto,,Hembra,12
554,Labrador Retriever,Corto,Beige,,14
556,Yorkshire Terrier,Largo,los q ve,,16
557,Chihuahua,Corto,Blanco y Beige,Macho,15
558,Boxer,Corto,,,12
559,Bull Terrier,Corto,Blanco,Macho,14
560,Husky Siberiano,Corto,Gris,Macho,15
561,frech poodle,Largo,Blanco,Hembra,18
562,French,Corto,Blanco,Hembra,16
563,frech poodle,Largo,Blanco,Hembra,18
565,french,Corto,blanco y beagel,Macho,16
566,Frech miniyoy,Corto,,Macho,12
567,American Pitbull,Corto,Blanco,Macho,15
568,FRENCH POODLE,Largo,Blanco,,20
570,frech poodle,Corto,Blanco,Hembra,20
571,Golden Retriever,Largo,Dorado,Macho,12
572,French,Corto,,Macho,20
573,FRENCH POODLE MINI,Corto,Blanco crema,,20
574,Yorkshire Terrier,Largo,Dorado oscuro,Macho,17
575,frech poodle,Largo,Blanco,Hembra,18
576,FRENCH POODLE,Corto,BLANCO Y CREMA,,15
577,Doberman,Corto,Negro,Macho,13
578,Doberman,Corto,Negro,,13
579,American Bully,Corto,Negro,Macho,15
580,Pomerania,Largo,Blanco,Hembra,16
581,Schnauzer Mini,Corto,Salpimienta,Hembra,12
582,Shih Tzu,Largo,BLANCO CON CAFE,Hembra,16
583,Hasky siberiano,Largo,Blanco/Plomo,Macho,15
585,Pastor Inglés,Largo,Negro/Blanco,Hembra,15
586,Doberman,Corto,Caqui,,13
587,Hasky siberiano,Largo,Blanco/Plomo,Macho,15
588,Ovejero Alemán,Largo,,,13
589,Pomerania,Largo,Naranja,Macho,16
591,French poodle mini toy,Corto,Blanco,Hembra,15
593,Yorkshire Terrier,Largo,Agua,Macho,16
594,Samoyedo,Largo,Blanco,,13
595,Bulldog Francés,Corto,Negro,Hembra,17
596,Hermosos akitas americanos padres de pedigree,Corto,Tricolor,Macho,20
597,Chihuahua,Corto,Blanco,Hembra,15
598,Labrador Retriever,Corto,Chocolate,Hembra,20
601,Golden Retriever,Largo,Dorado,Macho,12
602,Cocker,,Café,,
603,Bichón Maltés,Largo,Blanco,Hembra,15
604,Schnauzer,Largo,Blanco,Hembra,16
605,Shih Tzu,Largo,Tricolor,Macho,16
606,Pekinés,Largo,,,14
608,Chihuahua,Largo,Blanco,Macho,19
610,Pekinés,Largo,,,14
611,Jack Russell Terrier,Corto,blanco con café,Hembra,16
615,Yorkshire Terrier,Largo,los que ve como son esos,,16
617,Pekinés,Largo,,,14
618,Pug,Corto,,,15
619,Pequinés cabeza de león,Largo,Blanco,Macho,14
620,Shih Tzu,Largo,Tricolor,Hembra,16
621,Shih Tzu,Largo,Tricolor,Macho,16
622,French poodle minitoy,Largo,Chocolate,Hembra,20
623,Chihuahua,Corto,entre los que observa,,20
625,Ovejero Alemán,Largo,Negro,,13
627,Bichón Maltés,,Blanco,,
628,Bulldog Francés,Corto,,,14
629,Pastor aleman,Largo,Negro/Fuego,Macho,13
630,Husky Siberiano,Corto,negro con blanco,Macho,15
631,Cachorros Bichón Maltés tasita de te minitoy,Largo,Blanco,Hembra,20
633,French,Corto,Blanco,Hembra,20
634,Hembra,Largo,Crema,,12
635,Pug,Corto,Beige,,15
636,Husky Siberiano,Corto,Negro,,15
638,Shih Tzu,Largo,Tricolor,Hembra,16
640,Doberman,Corto,Caqui,,13
641,teckel,Corto,Negro/Fuego,,
642,Pomerania,Largo,,,16
644,Shnauzer,Corto,Salpimienta,Hembra,13
645,Cachorros Yorkshire Terrier minitoy tasita de te tea cup,Largo,Bicolor,Hembra,20
646,Pomerania,Largo,Blanco,Hembra,10
647,Chihuahua,Corto,Blanco y beige,Hembra,20
648,Cachorros Yorkshire Terrier minitoy tea cup,Largo,Negro/Fuego,Hembra,20
649,Chihuahua,Corto,Miel,Macho,20
650,Shih Tzu,Largo,Tricolor,Macho,16
651,Schnauzer miniaturas,Largo,Negro/Fuego,Hembra,20
652,Pug,Corto,Beige,,15
653,Pug,Corto,Arena,,15
654,Bulldog Francés,Corto,Dorado oscuro,Macho,15
655,Schnauzer miniatura blanco,Largo,Blanco,Macho,15
656,Pitbull,Corto,Café,,14
658,Chihuahua,Corto,Miel,Macho,20
659,Pomerania,Largo,Negro,Hembra,16
660,Shih Tzu,Largo,Tricolor,,16
661,Yorkshire Terrier,Largo,Negro,Hembra,16
662,Pomerania,Largo,,,16
664,Chihuahua,Corto,Blanco,Hembra,20
665,Cachorros Yorkshire terrier minitoy tasita de te,Largo,Bicolor,Macho,20
666,Yorkshire Terrier,Corto,Negro/Fuego,,16
667,Shnauzer Miniatura,Corto,blanco y salpimienta,Hembra,12
669,Shih Tzu,Largo,Blanco y Caramelo,Macho,16
670,Yorkshire Terrier,Largo,Tricolor,,16
671,Pastor Aleman,Corto,Negro,Hembra,12
672,Beagle,Corto,tricolor y limón,Macho,15
673,West Highland White Terrier,Largo,,,16
674,Viejo pastor inglés,Largo,negro con blanco,Macho,16
675,Beagle,Largo,Blanco,Hembra,16
676,Yorkshire Terrier,Largo,Ocre,Macho,16
677,Cane Corso,Corto,Gris,,12
678,Bulldog Inglés,Corto,los que ve,,10
679,Cachorros Doberman pinscher miniatura,Corto,Negro/Fuego,Macho,20
680,Bulldog Francés,Corto,,,14
681,pastor aleman,Largo,Negro/Fuego,,13
682,Shih Tzu  Shitzu,Largo,Caramelo,Hembra,16
683,Pomerania,Largo,Marrón,,16
684,Bichón Maltés,,Blanco,,
685,Shnauzer Miniatura,Corto,Blanco,Macho,12
686,Bulldog Inglés,Corto,Blanco,Hembra,20
687,Bulldog Francés,Corto,Crema,Hembra,10
688,Shih Tzu,Largo,Tricolor,Hembra,16
689,Schnauzer,Largo,BLANCO NEGRO SAL Y PIMIENTA,Macho,16
690,Shnauzer,Corto,Negro azabache,Macho,13
692,Beagle,Corto,Negro,Hembra,15
693,Pug,Corto,,,15
694,Rottweiler,Corto,CAFE FUEGO,,10
695,Ovejero Alemán,Largo,,Hembra,13
696,Beagle,Corto,Negro,Macho,13
697,Pastor aleman,Corto,,Hembra,20
698,Shih Tzu,Largo,Tricolor,Macho,16
699,Shih Tzu  Shitzu,Largo,Tricolor,Hembra,16
700,Shih Tzu  Shitzu,Largo,Caramelo,Hembra,16
701,Boston Terrier,Corto,BLANCO Y NEGRO,Macho,15
702,Pastor Alemán machos y hembras,Corto,Negro/Fuego,Hembra,20
703,Shnauzer Minitoy,,Blanco y Salpimienta,Hembra,
704,Shitzu super ñatos enanos,Largo,tricolores,Macho,20
705,Cachorros Schnauzer Miniatura sal pimienta,Largo,sal pimienta,Hembra,20
708,Pastor Aleman,Largo,Negro,Hembra,13
709,San Bernardo,Largo,Tricolor,,15
710,Golden Retriever,Corto,Beige,,12
711,Schnauzer Mini,Corto,Salpimienta y Blanco,Macho,12
712,Bulldog Francés,Corto,Fawn,,14
713,Cocker Spaniel Inglés,Largo,DORADO Y BLANCOP,Hembra,15
714,Ovejero Alemán,Largo,,,13
715,Bulldog Francés,Corto,,Hembra,14
716,Cachorros French poodle minitoy tasita de te,Largo,Blanco,Hembra,20
717,Viejo pastor ingles,Largo,Gris,Macho,15
718,American Bully,Corto,Azul,Hembra,10
719,Shnauzer,Corto,salpimienta,Hembra,13
720,Pastor aleman,Largo,,Macho,13
721,Cachorros Labrador Retriever chocolate,Corto,Chocolate,Hembra,20
722,Beagle,Corto,tricolores,Macho,16
723,PASTOR ALEMAN,Largo,Negro/Fuego,,13
727,Husky Siberiano,Corto,Gris oscuro,Macho,15
728,Cocker,Largo,café  con blanco,Macho,15
729,pastor aleman,Largo,Negro/Fuego,,13
730,Pug,Corto,Crema,Macho,15
731,Bulldog Francés,Corto,Crema,,14
732,Pastor Aleman,Largo,Negro,Hembra,13
733,Bulldog Inglés,Corto,,,10
734,frech poodle,Corto,Blanco,Macho,14
737,Ovejero Alemán,Largo,Negro,Hembra,13
738,frech poodle,Corto,Blanco,Hembra,18
739,Cocker,Corto,café y blanco,Hembra,20
740,French poodle mini toy,Corto,Blanco,Macho,15
741,Boston Terrier,Corto,Negro,Macho,15
742,Bulldog Inglés,Corto,Marrón claro,Macho,10
743,Golden Retriever,Largo,Dorado,Macho,12
744,Pitbull,Corto,Negro,,14
745,NingunA,,Caqui,Hembra,
746,Golden,Largo,Dorado,Macho,12
747,Cocker machos y hembras,Corto,Blanco,Hembra,20
748,Shar Pei,Corto,marro,Hembra,15
749,Cachorros Teckel Salchicha minitoy,Corto,Negro/Fuego,Macho,20
750,Pastor Belga,Corto,"negro, café y blanco",Macho,12
751,Cocker,Largo,Blanco,Macho,18
754,pastor aleman,Largo,Negro,Macho,13
755,San Bernardo,Largo,Tricolor,,15
756,Beagle,Corto,Negro,Macho,15
757,Shih Tzu,Largo,Tricolor,Hembra,16
758,Cachorros Bichon maltés minitoy tasita de te,Largo,Blanco,Hembra,20
759,Bull terrier ingles,Corto,Bicolor,Macho,14
760,Schnauzer,Largo,Blanco,,
761,Chihuahuas cabeza de manzana,Corto,negro con cafe,Hembra,50
762,Bichón Maltés,,Blanco,,
763,American Bully,Corto,Gris oscuro,Macho,15
764,American buly,Corto,Azul,Hembra,14
765,pastor aleman,Largo,Negro,Macho,13
766,Doberman,Corto,Caqui,,13
767,Pitbull,Corto,Blanco,,14
768,Chihuahua,Corto,Blanco,Hembra,20
771,Akita,Largo,Bicolor,Hembra,16
772,Shih Tzu,Largo,Tricolor,Macho,16
774,Labrador Retriever,Corto,Negro,,14
775,American Bully,Corto,Negro,Macho,15
776,MERINO,,Beige,,
777,Shitzu,Largo,Tricolor,Hembra,15
778,Schnauzer Mini,Largo,blanco y negro,Hembra,15
779,Shnauzer vlanco,Largo,Blanco,Macho,10
781,Rotwiller,Corto,Negro/Fuego,Macho,14
782,PEQUINES,Largo,Blanco,,14
783,Pomerania,Largo,Beige,,16
784,Cocker machos y hembras,Corto,Dorado,Hembra,20
785,Shih Tzu,Largo,Caramelo con Blanco,Macho,16
788,Shnauzer Miniatura,Corto,salpimienta,Hembra,12
789,Pomerania,Largo,Blanco,,16
790,Beagle,Corto,,Macho,12
791,Goldendoodle,Largo,Dorado,Hembra,18
792,frech poodle,Corto,Blanco,Macho,14
793,Chihuahua,Corto,,,20
794,Pastor alemán,Corto,Negro,Hembra,15
795,Pekiñez,Largo,Beige- Marron,Hembra,1
796,ShiTzu,Largo,tricolores y blanquitas,Hembra,16
797,Chihuahua,Corto,Beige,Macho,13
798,Bulldog Inglés,Corto,Blanco,,10
799,Pastor Belga Malinois,Largo,Rojo,Hembra,14
800,Chihuahua,Corto,Negro,Hembra,20
801,Cachorros Shitzu miniatura,Largo,Blanco,Hembra,20
802,San Bernardo,Largo,Tricolor,Hembra,20
803,Bulldog Francés,Corto,,,14
804,Weimaraner,Corto,Gris oscuro,,13
805,Bichón Maltés,Largo,Blanco,Hembra,15
807,Ovejero Alemán,Largo,,,13
808,Shih Tzu,Largo,Tricolor,Hembra,16
809,Pomerania,Largo,Negro,,16
810,Husky con bully,Corto,negro con blanco y café,Macho,30
812,Golden Retriever,Largo,Dorado,Macho,12
813,Golden Retriever,Largo,Dorado,Macho,12
814,Pug,Corto,Arena,,15
816,Pitbull,Corto,Chocolate,Hembra,14
817,Beagle,Corto,Crema,Macho,12
818,Doberman,Corto,Negro,,13
819,Cachorros French poodle minitoy tasita de te,Largo,Blanco,Macho,20
820,Schnauzer miniatura,Largo,Blanco,Macho,15
821,Shih Tzu,Largo,Tricolor,Hembra,16
822,Golden Retriever,Largo,Dorado,Macho,12
823,Pitbull,Corto,Blanco,,14
824,Beagle,Corto,tricolor bicolores,Hembra,20
825,Hermosos cachorros yorkshire terrier minitoy tasita de te,Largo,Negro/Fuego,Hembra,20
826,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
827,Bulldog Francés,Corto,Negro,,14
828,Husky Siberiano,Corto,Gris oscuro,Macho,15
830,Pinscher Miniatura,Corto,Negro,Hembra,17
831,Shih Tzu,Largo,Blanco,Hembra,16
836,Shih Tzu,Largo,Tricolor,Hembra,16
840,pastor aleman,Largo,Negro/Fuego,Macho,13
841,Ovejero Alemán,Largo,Negro,,13
842,Cachorros West highland terrier westy,Largo,Blanco,Macho,20
843,Pequines blancos,Largo,Blanco,Macho,14
845,Bichón Frisé,Largo,Blanco,Macho,15
847,pastor aleman,Largo,Negro,Macho,13
848,Pomeranio,Largo,Blanco,Macho,13
849,Bulldog Inglés,Corto,Blanco,,10
850,Bichón Maltés,Corto,Blanco,Macho,12
851,Cachorros Akita americano,Corto,Tricolor,Macho,20
853,French poodle minitoy,Largo,café,Hembra,20
855,American Bully exótico,Corto,Café claro,Macho,12
856,Golden Retriever,Largo,Dorado,Macho,12
857,PASTOR INGLES OVEJERO,Largo,Bicolor,,15
858,Schnauzer,Largo,Blanco,Hembra,16
859,American Bully,Corto,Marrón claro,Macho,10
860,Hermosos cachorros bichon maltés tasita de te,Largo,Blanco,Hembra,20
861,Shnauzer Miniatura,Corto,Salpimienta,Hembra,12
863,Golden Retriever,Largo,Dorado,Macho,12
865,Schnauzer hembras y machos,Largo,Blanco,Hembra,20
866,Schnauzer Mini,Largo,blancos y negro plata,Hembra,15
868,Shnauzer Miniatura,Corto,Blanco,Hembra,13
870,Bichón Frisé,Largo,Blanco,,
871,Shih Tzu  Shitzu,Largo,Blanco Y Negro,Hembra,16
872,Shih Tzu,Largo,Tricolor,Macho,16
873,Shih Tzu,Largo,Tricolor,Hembra,16
874,SALCHICHA,Corto,CAFE Y NEGRO,,20
875,Dachshum (salchichas),Corto,Negro,Macho,15
876,American Bully Pocket,Corto,Gris,Hembra,10
877,Yorkshire Terrier,Largo,Negro,Hembra,16
880,Bulldog Inglés,Corto,Blanco,Macho,10
881,Shih Tzu,Largo,Tricolor,Hembra,16
882,PITBULL AMERICANO,Corto,Gris oscuro,Macho,14
883,Jack Russell Terrier,Corto,Blanco,,16
884,Caniche Toy,Largo,,Hembra,15
885,Pug,Corto,,,15
887,Shih Tzu  Shitzu,Largo,Tricolor,Hembra,16
888,Shih Tzu  Shitzu,Largo,Blanco Y Negro,Hembra,16
889,Shih Tzu  Shitzu,Largo,Blanco,Hembra,16
890,Chihuahua,Corto,Blanco,,20
891,Doberman,Corto,Negro,,13
892,Cocker spaniel,Largo,Nude,Hembra,15
895,Pomerania,Largo,Blanco,,16
897,Labrador Retriever,Corto,,,14
898,Mastín Napolitano,Corto,,,10
899,Yorkshire Terrier,Largo,,,16
901,Ovejero Alemán,Largo,,,13
902,American Bully,Corto,,Hembra,15
905,Border Collie,Corto,Nude,Hembra,15
906,Samoyedos,Largo,Blanco,Hembra,15
907,Dogo de Burdeos,Corto,,,8
909,Bulldog Francés,Corto,Gris oscuro,,14
911,Westy white terrier,Corto,,Hembra,15
912,Bulldog Inglés,Corto,Gris,,10
913,Jack Russell Terrier,Corto,,,16
914,Cachorros Bichon maltés tea cup tasita de te,Largo,Blanco,Macho,20
916,San Bernardo,Largo,Tricolor,Hembra,20
917,Bulldog Francés,Corto,Blanco,,14
918,Hermosos husky siberiano pelón,Largo,Blanco,Macho,20
919,Salchicha,Corto,Negro,Hembra,0
920,Bulldog Francés,Corto,Marrón claro,Hembra,14
922,Chihuahua,Corto,Blanco,Hembra,10
923,Pekinés,Largo,Blanco,Hembra,14
924,Pitbull,Corto,Gris oscuro,Macho,14
925,Chihuahua,Corto,Negro,Hembra,20
926,Yorkshire,Largo,Plateado,Macho,16
927,Shnauzer Miniatura,Corto,salpimienta,Macho,12
928,Cachorros Schnauzer miniatura,Largo,Blanco,Hembra,20
931,Husky Siberiano,Corto,Gris oscuro,Macho,3
932,Akita Americano,Corto,Blanco,,15
933,Yorkshire Terrier,Largo,,,16
934,Golden Retriever,,,Macho,
935,Schnauzer miniatura sal pimienta,Largo,sal pimienta,Macho,15
936,Ovejero Alemán,Largo,,,13
937,Ovejero Alemán,Largo,,,13
939,Doberman,Corto,Caqui,,13
940,Pitbull,Corto,Marrón claro,,14
941,Bichón Maltés,Largo,Blanco,,2
942,Chihuahua,Largo,Blanco,Macho,20
943,Shnauzer Miniatura,Corto,Blanco,Hembra,12
945,Pastor alemán,Largo,Negro/Fuego,Macho,15
946,Cachorros Bichón Frisé minitoy,Largo,Blanco,Macho,20
947,Pug Carlino patas cortas,Corto,Crema,Macho,15
948,PIDBUL,Corto,Blanco,Macho,1
949,Chiguagua blanco,Corto,Blanco,Hembra,14
950,Mastil italiano,Corto,Negro,Hembra,2
955,Shnauzer Miniatura,Corto,Salpimienta,Macho,12
956,Beagle,Corto,Tricolor,,
957,Pitbull,Corto,Chocolate,,14
958,Cachorros Golden Retriever,Largo,Dorado oscuro,Macho,20
959,Pastor Aleman,Corto,Negro,Hembra,16
960,Belga Malinois,Corto,Marrón claro,Hembra,12
961,PastorAlemán,Largo,Negro/Fuego,Hembra,13
963,Viejo pastor inglés,Largo,negro con blanco,Macho,17
964,Schnauzer Mini,Corto,Salpimienta,Macho,12
965,Pitbull,Corto,Blanco,,14
966,Schnauzer Mini,Largo,"sal pimienta, negritos y blancios",,14
967,West Highland White Terrier,Largo,Blanco,Macho,16
968,golden retrivers,Largo,Dorado,Macho,18
969,Chihuahua,Corto,Bicolor,Hembra,20
971,Chiwawa,Corto,Blanco,Macho,1
972,Rottweiler,Corto,Negro y Fuego,Macho,12
973,Bulldog Inglés,Corto,Blanco,Hembra,10
974,Cachorros Cocker inglés,Corto,Bicolor,Macho,20
975,Beagle,Corto,Blanco,Macho,15
976,Akita Americano,Corto,Tricolor,,15
977,San Bernardo,Largo,Tricolor,,15
978,Cocker spaniel,,Dorado oscuro,Macho,
979,Bichón maltés frise,Largo,Blanco,Hembra,15
980,Golden retriver,Largo,,Hembra,20
982,Labrador Retriever,Corto,Negro,,14
983,Cachorros French poodle minitoy tasita de te,Largo,Blanco,Macho,20
984,Boston Terrier,Corto,vaquita,Hembra,10
985,French  poodle,Corto,Blanco,Hembra,17
986,Pastor alemán,Corto,Negro/Café,Macho,11
987,Cachorros West highland terrier westy,Largo,Blanco,Macho,20
988,Pitbull,,Blanco,Hembra,
989,Cachorros Bichón Maltés tacita de te minitoy,Largo,Blanco,Hembra,20
990,Akita Americano,Corto,Tricolor,,15
993,DOBERMAN MINI,Corto,Negro/Fuego,,13
995,French,Corto,Blanco,Macho,17
996,Pastor Belga Malinois,Corto,Gris oscuro,Hembra,14
997,pastor aleman,Largo,Negro,Macho,13
998,Pug,Corto,Crema,,15
1000,Husky Siberiano,Corto,Rojo,Hembra,14
1001,Schnauzer,Largo,Blanco,,16
1002,Pekinés,Largo,Blanco,,14
1003,Cachorros Labrador Retriever,Corto,Dorado,Macho,20
1004,Labrador Retriever,Corto,Dorado,,14
1006,Bulldog Francés,Corto,Negro,,14
1007,Cachorros Yorkshire terrier tea cup minitoy tasita de te,Largo,Negro/Fuego,Hembra,20
1008,Doberman,Corto,Marrón,Macho,13
1009,Alaskan Malamute - Husky,Largo,Crema con blanco,Hembra,12
1010,Hermosos cachorros french poodle minitoy tasita de te,Largo,Blanco,Hembra,20
1011,Bulldog Francés,Corto,Negro,,14
1012,Husky Siberiano,Largo,Negro,Macho,13
1014,schnauzer miniatura,Largo,Blanco,Hembra,15
1015,Pug,Corto,Negro,,15
1017,Chihuahuas cabeza de venado,Corto,Gris,Hembra,1
1018,Bull Terrier,Corto,Negro,,14
1019,Pequines mini,Largo,color miel,Macho,15
1021,Beagle,Corto,Marrón oscuro,,2
1023,American Bully,Corto,Blanco,Hembra,12
1024,Cachorros Bichón Frisé tea cup tasita de te,Largo,Blanco,Hembra,20
1025,frech poodle,Corto,Blanco,Macho,14
1029,American bully poket,Corto,Azul acero,Hembra,15
1030,Pitbull,Corto,Marrón claro,Hembra,14
1031,Pug,Corto,Beige,Hembra,15
1033,Bulldog Inglés,Corto,Blanco,,10
1034,San Bernardo,Largo,Tricolor,Macho,15
1036,Pastor aleman,Largo,Negro/Fuego,Macho,20
1037,Border,Largo,Negro,Hembra,18
1038,Husky Siberiano,Corto,Marrón oscuro,,15
1039,Bulldog Inglés,Corto,Blanco,Macho,10
1042,Yorkshire Terrier,Largo,Negro/Fuego,,15
1043,French,Corto,Beige y Blanco,Macho,13
1045,Bulldog,Corto,Gris,Macho,15
1047,Bulldog Francés,Corto,Lila,,14
1048,Golden Retriever,Largo,,Macho,12
1049,Golden Retriever,Largo,Dorado,Macho,12
1050,Dogo Argentino,Corto,Blanco,,12
1051,Pastor Aleman,,Negro,Macho,
1052,Frech poodle mini toy,Corto,Blanco,Macho,15
1053,Schnauzer,Corto,Blanco,Macho,10
1056,Doberman,Corto,Negro,,13
1057,Shih Tzu,Largo,Tricolor,Macho,16
1058,Chiguahua,Corto,Crema,Hembra,15
1059,Golden Retriever,Largo,Nude,,12
1060,San Bernardo,Largo,Blanco,,10
1061,Pastor Belga Malinois,Corto,Dorado oscuro,Macho,12
1062,Cocker Spaniel Inglés,Largo,DORADO Y BLANCOP,,15
1063,Cocker,Corto,Blanco con café,Hembra,20
1066,Pekinés,Largo,Marrón claro,,14
1067,Doberman,Corto,Caqui,,13
1068,Bichón frisé macho y hembra,Largo,Blanco,Hembra,20
1069,pastor aleman,Largo,Negro,Macho,13
1070,Golden Retriever,Largo,Dorado,Macho,12
1071,Samoyedo,Largo,Atigrado,,13
1073,Pastor alemán,Largo,Negro/Café,Hembra,15
1074,Pastor Inglés,Largo,Blanco,Hembra,15
1075,Bulldog Francés,Corto,Marrón,,14
1076,Cachorros Cocker inglés,Corto,Bicolor,Macho,20
1077,Bulldog Francés,Corto,Rojo,Hembra,15
1078,West Higland White Terrier,,Blanco,Hembra,
1079,frech poodle,Largo,Blanco,Hembra,18
1080,American Bully,Corto,Blanco,Macho,12
1081,Yorkshire Terrier,Largo,Negro Fuego con Dorado y Plateado,Hembra,16
1082,Beagle,Corto,Tricolor,Macho,15
1083,Pastor Inglés,Largo,Blanco,Hembra,15
1084,golden,Largo,Negro,Macho,45
1085,Shutzu,Largo,,Macho,10
1086,Chihuahua,Corto,Blanco,Macho,12
1087,Gran Danés,Corto,Negro,,8
1088,Hembra,,Beige,,
1089,Husky Siberiano,Corto,Gris,Hembra,15
1090,Pastor alemán,Corto,Negro,Macho,13
1091,Dogo Argentino,Corto,Blanco,Macho,15
1092,Bulldog Francés,Corto,pied merle,,14
1093,Basset Hound,Corto,Negro,Hembra,12
1094,Golden Retriever,Largo,Dorado,Macho,12
