,breed,fur,fur_color,gender,life_expectancy
1955,Beagle,Corto,Negro,Macho,16
1956,Bichón Frisé,Corto,Blanco,Macho,17
1957,akita,Largo,Café,,15
1958,American Bully,Corto,,Hembra,12
1959,Schnauzer miniatura negro,Largo,Negro,Macho,15
1961,Border,Largo,Marrón claro,Hembra,18
1963,Samoyedo,Largo,Blanco,Macho,13
1964,Chihuahua,Corto,Blanco,,20
1966,Pitbull,Corto,Blanco,Macho,14
1967,Samoyedo,Largo,Blanco,,15
1970,French,Corto,Negro,Macho,16
1971,Pitbull,Corto,Blanco,Macho,14
1972,Doberman pinscher toy,Corto,Negro/Fuego,Macho,15
1974,French poodle mini toy,Corto,Blanco,Macho,15
1975,Bichón Maltés,Largo,Blanco,Hembra,15
1976,Caniche Mini,Largo,Chocolate,Hembra,20
1977,Pastor Aleman,Largo,Negro/Fuego,Macho,14
1978,Yorkie,Largo,Negro/Fuego,Hembra,16
1980,Pug Carlino,Corto,Marrón claro,Macho,15
1984,Pekinés,Largo,,Macho,14
1985,Bulldog Francés,Corto,Gris oscuro,Macho,14
1986,Golden Retriever,Largo,Dorado,Macho,12
1987,Bichón Maltés,Largo,Blanco,,20
1988,Labrador,Corto,Crema,Macho,17
1989,Yorkshire Terrier,Largo,Negro/Fuego,Macho,16
1990,Yorkshire,Corto,Negro,Hembra,10
1991,Bulldog Francés,Corto,Marrón claro,Hembra,15
1992,Cane Corso,Corto,Gris,Macho,12
1993,Husky Siberiano,Corto,Amarillo,Macho,15
1994,Pug carlino,Corto,,Macho,15
1995,Labrador Retriever,Corto,Dorado,Macho,18
1996,PASTOR ALEMAN,Largo,Negro/Fuego,,13
1997,Doberman,Corto,Negro,Hembra,13
1998,Yorkshire,Largo,,Macho,16
1999,Pekinés,Largo,Blanco,,14
2000,Akita Americano,Corto,Tricolor,,15
2001,Shih Tzu,Largo,Tricolor,Hembra,16
2004,Pomerania,,,Hembra,
2005,Beagle,Corto,Tricolor,Hembra,10
2006,Golden Retriever,Largo,Dorado oscuro,Macho,18
2007,Beagle,Corto,Tricolor,,15
2009,Schnauzer,Corto,Blanco,,14
2010,BICHPOO,Corto,Negro,,15
2011,Yorkshire Terrier,Largo,Negro y fuego,Macho,16
2013,Golden Retriever,Largo,Crema,,12
2014,Golden Retriever,Largo,Dorado oscuro,Macho,18
2015,Border Collie,Largo,Negro,,15
2016,Bulldog Inglés,Corto,Lila,,10
2017,Chihuahua,Corto,Blanco,Macho,20
2018,Bulldog Inglés,Corto,Beige,Macho,10
2019,Bulldog Inglés,Corto,Lila,,13
2020,Shih Tzu,Largo,BLANCO Y BEIGE,Hembra,16
2021,Chihuahua,Corto,Beige,Hembra,12
2022,Chihuahua,Corto,café,Macho,20
2023,Golden Retriever,Largo,Beige,Macho,12
2024,Golden Retriever,Largo,Dorado oscuro,,12
2025,Schnauzer,Corto,sal pimienta,,14
2026,Yorkshire Terrier,Largo,Plateado,Macho,16
2027,Yorkshire Terrier,Largo,Negro y fuego,Macho,16
2028,Schnauzer,Corto,Negro,,14
2029,Schnauzer,Corto,Blanco,,14
2030,Border Collie,Largo,Negro,,15
2031,Border Collie,Largo,Blanco,,15
2032,Chihuahua,Corto,café,,20
2033,Jack Russell Terrier,Corto,Bicolor,Hembra,16
2034,Schnauzer Mini,Largo,Sal & pimienta,Macho,13
2035,Bichón Frisé,Largo,Blanco,,15
2037,Chow Chow,Corto,Crema,Macho,15
2039,Golden Retriever,Largo,Dorado,Hembra,14
2040,Springer Spaniel Inglés,Largo,Negro,Hembra,14
2041,Springer Spaniel Inglés,Largo,Chocolate,Macho,14
2042,Labrador,Corto,Negro,Macho,14
